#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 06 16 26 999 99.0 99.0 99.00 99.00 99.00 999 1018.4  -1.9 999.0 999.0 99.0 99.00
2017 01 06 16 35 999  3.2 99.0 99.00 99.00 99.00 999 1018.4  -1.9 999.0 999.0 99.0 99.00
2017 01 06 16 44 999  2.9 99.0 99.00 99.00 99.00 999 1018.3  -1.7 999.0 999.0 99.0 99.00
2017 01 06 16 53 999  3.4 99.0 99.00 99.00 99.00 999 1018.4  -1.9 999.0 999.0 99.0 99.00
2017 01 06 17 02 999  4.1 99.0 99.00 99.00 99.00 999 1018.4  -1.9 999.0 999.0 99.0 99.00
2017 01 06 17 11 999  4.2 99.0 99.00 99.00 99.00 999 1018.4  -1.5 999.0 999.0 99.0 99.00
2017 01 06 17 28 999  3.9 99.0 99.00 99.00 99.00 999 1018.5  -1.4 999.0 999.0 99.0 99.00
2017 01 06 17 37 999  3.8 99.0 99.00 99.00 99.00 999 1018.6  -1.6 999.0 999.0 99.0 99.00
2017 01 06 17 46 999  3.6 99.0 99.00 99.00 99.00 999 1018.8  -1.5 999.0 999.0 99.0 99.00
2017 01 06 17 55 999  3.7 99.0 99.00 99.00 99.00 999 1018.7  -1.4 999.0 999.0 99.0 99.00
2017 01 06 18 04 999  3.5 99.0 99.00 99.00 99.00 999 1018.8  -1.3 999.0 999.0 99.0 99.00
2017 01 06 18 13 999  3.5 99.0 99.00 99.00 99.00 999 1018.8  -1.2 999.0 999.0 99.0 99.00
2017 01 06 18 22 999  3.1 99.0 99.00 99.00 99.00 999 1018.7  -0.9 999.0 999.0 99.0 99.00
2017 01 06 18 39 999  3.9 99.0 99.00 99.00 99.00 999 1018.6  -0.8 999.0 999.0 99.0 99.00
2017 01 06 18 48 999  3.5 99.0 99.00 99.00 99.00 999 1018.5  -0.6 999.0 999.0 99.0 99.00
2017 01 06 18 57 999  4.1 99.0 99.00 99.00 99.00 999 1018.5  -0.8 999.0 999.0 99.0 99.00
2017 01 06 19 06 999  4.0 99.0 99.00 99.00 99.00 999 1018.4  -0.6 999.0 999.0 99.0 99.00
2017 01 06 19 15 999  3.5 99.0 99.00 99.00 99.00 999 1018.3  -0.3 999.0 999.0 99.0 99.00
2017 01 06 19 24 999  4.0 99.0 99.00 99.00 99.00 999 1018.2  -0.2 999.0 999.0 99.0 99.00
2017 01 06 19 41 999  3.1 99.0 99.00 99.00 99.00 999 1018.1   0.1 999.0 999.0 99.0 99.00
2017 01 06 19 59 999  2.7 99.0 99.00 99.00 99.00 999 1017.8   0.3 999.0 999.0 99.0 99.00
2017 01 06 20 08 999  3.2 99.0 99.00 99.00 99.00 999 1017.7   0.5 999.0 999.0 99.0 99.00
2017 01 06 20 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   9.1 999.0 99.0 99.00
2017 01 06 20 17 999  3.0 99.0 99.00 99.00 99.00 999 1017.6   0.7 999.0 999.0 99.0 99.00
2017 01 06 20 26 999  3.2 99.0 99.00 99.00 99.00 999 1017.5   0.9 999.0 999.0 99.0 99.00
2017 01 06 20 35 999  3.4 99.0 99.00 99.00 99.00 999 1017.4   0.9 999.0 999.0 99.0 99.00
2017 01 06 20 44 999  3.5 99.0 99.00 99.00 99.00 999 1017.2   0.9 999.0 999.0 99.0 99.00
2017 01 06 20 52 999  3.6 99.0 99.00 99.00 99.00 999 1017.1   1.5 999.0 999.0 99.0 99.00
2017 01 06 21 01 999  3.0 99.0 99.00 99.00 99.00 999 1017.0   1.5 999.0 999.0 99.0 99.00
2017 01 06 21 19 999  1.9 99.0 99.00 99.00 99.00 999 1016.7   1.9 999.0 999.0 99.0 99.00
2017 01 06 21 28 999  2.7 99.0 99.00 99.00 99.00 999 1016.8   1.8 999.0 999.0 99.0 99.00
2017 01 06 21 37 999  2.5 99.0 99.00 99.00 99.00 999 1016.7   1.9 999.0 999.0 99.0 99.00
2017 01 06 21 46 999  2.3 99.0 99.00 99.00 99.00 999 1016.7   2.2 999.0 999.0 99.0 99.00
2017 01 06 22 03 999  2.0 99.0 99.00 99.00 99.00 999 1016.6   2.2 999.0 999.0 99.0 99.00
2017 01 06 22 12 999  2.3 99.0 99.00 99.00 99.00 999 1016.6   2.3 999.0 999.0 99.0 99.00
2017 01 06 22 21 999  2.0 99.0 99.00 99.00 99.00 999 1016.5   2.5 999.0 999.0 99.0 99.00
2017 01 06 22 39 999  2.1 99.0 99.00 99.00 99.00 999 1016.4   3.1 999.0 999.0 99.0 99.00
2017 01 06 22 48 999  2.8 99.0 99.00 99.00 99.00 999 1016.3   3.0 999.0 999.0 99.0 99.00
2017 01 06 22 57 999  2.2 99.0 99.00 99.00 99.00 999 1016.3   3.6 999.0 999.0 99.0 99.00
2017 01 06 23 06 999  3.2 99.0 99.00 99.00 99.00 999 1016.2   3.8 999.0 999.0 99.0 99.00
2017 01 06 23 14 999  2.6 99.0 99.00 99.00 99.00 999 1016.2   4.3 999.0 999.0 99.0 99.00
2017 01 06 23 23 999  3.5 99.0 99.00 99.00 99.00 999 1016.1   4.4 999.0 999.0 99.0 99.00
2017 01 06 23 32 999  3.7 99.0 99.00 99.00 99.00 999 1016.1   4.4 999.0 999.0 99.0 99.00
2017 01 06 23 41 999  3.9 99.0 99.00 99.00 99.00 999 1016.1   4.5 999.0 999.0 99.0 99.00
2017 01 06 23 59 999  2.9 99.0 99.00 99.00 99.00 999 1016.0   4.4 999.0 999.0 99.0 99.00
2017 01 07 00 08 999  1.7 99.0 99.00 99.00 99.00 999 1015.9   4.4 999.0 999.0 99.0 99.00
2017 01 07 00 17 999  1.6 99.0 99.00 99.00 99.00 999 1016.0   4.4 999.0 999.0 99.0 99.00
2017 01 07 00 25 999  2.1 99.0 99.00 99.00 99.00 999 1016.0   4.4 999.0 999.0 99.0 99.00
2017 01 07 00 34 999  2.3 99.0 99.00 99.00 99.00 999 1016.0   4.3 999.0 999.0 99.0 99.00
2017 01 07 00 43 999  3.2 99.0 99.00 99.00 99.00 999 1016.0   3.9 999.0 999.0 99.0 99.00
2017 01 07 00 52 999  4.0 99.0 99.00 99.00 99.00 999 1015.9   3.9 999.0 999.0 99.0 99.00
2017 01 07 01 01 999  4.3 99.0 99.00 99.00 99.00 999 1016.0   3.8 999.0 999.0 99.0 99.00
2017 01 07 01 19 999  2.7 99.0 99.00 99.00 99.00 999 1016.0   3.3 999.0 999.0 99.0 99.00
2017 01 07 01 28 999  2.1 99.0 99.00 99.00 99.00 999 1016.1   2.9 999.0 999.0 99.0 99.00
2017 01 07 01 36 999  1.2 99.0 99.00 99.00 99.00 999 1016.1   3.0 999.0 999.0 99.0 99.00
2017 01 07 01 45 999  0.7 99.0 99.00 99.00 99.00 999 1016.1   3.0 999.0 999.0 99.0 99.00
2017 01 07 01 54 999  1.0 99.0 99.00 99.00 99.00 999 1016.1   3.1 999.0 999.0 99.0 99.00
2017 01 07 02 03 999  1.5 99.0 99.00 99.00 99.00 999 1016.2   3.1 999.0 999.0 99.0 99.00
